"1-к квартира, 37 м², 5/18 эт.","15 000  ₽
 в месяц  
 50 %","Площадь Маркса 1.5 км, Новосибирск, улица Станиславского, 18/1",/novosibirsk/kvartiry/1-k_kvartira_37_m_518_et._1115697970
"1-к квартира, 35 м², 5/5 эт.","1 200  ₽
 за сутки","Студенческая 300 м, Карла Маркса пр-кт, 53",/novosibirsk/kvartiry/1-k_kvartira_35_m_55_et._1041680186
"1-к квартира, 30 м², 1/5 эт.","1 500  ₽
 за сутки","Площадь Маркса 17.6 км, Советский район, Академгородок, Рубиновая улица, 1",/novosibirsk/kvartiry/1-k_kvartira_30_m_15_et._1024341157
"Студия, 28 м², 6/14 эт.","1 500  ₽
 за сутки","Золотая Нива 1.1 км, ул Есенина, 67",/novosibirsk/kvartiry/studiya_28_m_614_et._1602902028
"1-к квартира, 35 м², 1/17 эт.","1 000  ₽
 за сутки","Заельцовская 600 м, ул Овражная, 6",/novosibirsk/kvartiry/1-k_kvartira_35_m_117_et._961583779
"1-к квартира, 34 м², 4/5 эт.","1 000  ₽
 за сутки","Студенческая 200 м, Новосибирск, проспект Карла Маркса, 45и41",/novosibirsk/kvartiry/1-k_kvartira_34_m_45_et._1494130443
"1-к квартира, 38 м², 15/25 эт.","1 299  ₽
 за сутки","Маршала Покрышкина 600 м, Фрунзе 49/1",/novosibirsk/kvartiry/1-k_kvartira_38_m_1525_et._1096278894
"1-к квартира, 50 м², 7/9 эт.","1 300  ₽
 за сутки","Сибирская 400 м, Мичурина 20/1",/novosibirsk/kvartiry/1-k_kvartira_50_m_79_et._378488479
"1-к квартира, 40 м², 8/26 эт.","1 200  ₽
 за сутки","Площадь Гарина-Михайловского 2.5 км, Новосибирск, 1-я Чулымская улица, 112/2",/novosibirsk/kvartiry/1-k_kvartira_40_m_826_et._1119899286
"1-к квартира, 35 м², 2/5 эт.","1 000  ₽
 за сутки","Площадь Маркса 700 м, Проспект Карла Маркса, д. 16",/novosibirsk/kvartiry/1-k_kvartira_35_m_25_et._698061517
"1-к квартира, 30 м², 3/25 эт.","1 200  ₽
 за сутки","Площадь Гарина-Михайловского 700 м, ул Сибирская, 42",/novosibirsk/kvartiry/1-k_kvartira_30_m_325_et._908491182
"1-к квартира, 32 м², 2/5 эт.","1 300  ₽
 за сутки","Площадь Маркса 400 м, Россия, Новосибирск, проспект Карла Маркса, 8/2",/novosibirsk/kvartiry/1-k_kvartira_32_m_25_et._1195082525
"1-к квартира, 27 м², 11/17 эт.","1 000  ₽
 за сутки","Площадь Маркса 5.3 км, ул Виктора Уса, 15",/novosibirsk/kvartiry/1-k_kvartira_27_m_1117_et._625964636
"1-к квартира, 30 м², 5/25 эт.","1 200  ₽
 за сутки","Площадь Гарина-Михайловского 700 м, г. Новосибирск, ул. Сибирская, 42",/novosibirsk/kvartiry/1-k_kvartira_30_m_525_et._1038938788
"1-к квартира, 36 м², 6/9 эт.","1 000  ₽
 за сутки","Красный проспект 200 м, ул Гоголя, 9",/novosibirsk/kvartiry/1-k_kvartira_36_m_69_et._804859873
"1-к квартира, 35 м², 6/11 эт.","1 300  ₽
 за сутки","Площадь Ленина 800 м, ул Максима Горького 95",/novosibirsk/kvartiry/1-k_kvartira_35_m_611_et._1174833088
"1-к квартира, 35 м², 15/25 эт.","1 300  ₽
 за сутки","Красный проспект 700 м, Крылова 34 НИИТО центр",/novosibirsk/kvartiry/1-k_kvartira_35_m_1525_et._912277159
"1-к квартира, 36 м², 2/5 эт.","1 300  ₽
 за сутки","Площадь Маркса 600 м, ул Новогодняя, 13",/novosibirsk/kvartiry/1-k_kvartira_36_m_25_et._1219600193
"1-к квартира, 34 м², 2/9 эт.","1 300  ₽
 за сутки","Площадь Гарина-Михайловского 3.2 км, Гоголя",/novosibirsk/kvartiry/1-k_kvartira_34_m_29_et._64764380
"1-к квартира, 35 м², 8/9 эт.","1 200  ₽
 за сутки","Гагаринская 400 м, Красный пр-кт, 87",/novosibirsk/kvartiry/1-k_kvartira_35_m_89_et._950549271
"1-к квартира, 50 м², 2/9 эт.","1 300  ₽
 за сутки","Маршала Покрышкина 100 м, Гоголя 39",/novosibirsk/kvartiry/1-k_kvartira_50_m_29_et._108070323
"1-к квартира, 31 м², 5/5 эт.","1 300  ₽
 за сутки","Заельцовская 1.1 км, ул Дуси Ковальчук, 394",/novosibirsk/kvartiry/1-k_kvartira_31_m_55_et._1152894437
"1-к квартира, 36 м², 13/17 эт.","1 250  ₽
 за сутки","Речной вокзал 1.9 км, Новосибирск, улица Кирова, 225",/novosibirsk/kvartiry/1-k_kvartira_36_m_1317_et._1121992710
"1-к квартира, 30 м², 13/14 эт.","1 300  ₽
 за сутки","Маршала Покрышкина 600 м, Новосибирск, улица Фрунзе, 51",/novosibirsk/kvartiry/1-k_kvartira_30_m_1314_et._1505138170
"1-к квартира, 42 м², 15/17 эт.","1 300  ₽
 за сутки","Площадь Маркса 1.3 км, Немировича-Данченко ул, 120/5",/novosibirsk/kvartiry/1-k_kvartira_42_m_1517_et._751741732
"1-к квартира, 40 м², 3/25 эт.","1 300  ₽
 за сутки","Заельцовская 900 м, Красный пр-кт, 173/1",/novosibirsk/kvartiry/1-k_kvartira_40_m_325_et._842829951
"1-к квартира, 28 м², 1/5 эт.","1 090  ₽
 за сутки","Площадь Ленина 900 м, Новосибирск, Коммунистическая улица, 26",/novosibirsk/kvartiry/1-k_kvartira_28_m_15_et._1261622172
"1-к квартира, 50 м², 16/17 эт.","1 000  ₽
 за сутки","Заельцовская 6.4 км, Новосибирск, улица Краузе, 21/1",/novosibirsk/kvartiry/1-k_kvartira_50_m_1617_et._1032394030
"2-к квартира, 48 м², 2/5 эт.","1 400  ₽
 за сутки","Красный проспект 300 м, Гоголя 1",/novosibirsk/kvartiry/2-k_kvartira_48_m_25_et._640619273
"Студия, 20 м², 1/2 эт.","990  ₽
 за сутки","Берёзовая роща 900 м, Новосибирск, Даурская улица, 7",/novosibirsk/kvartiry/studiya_20_m_12_et._1534693354
"1-к квартира, 43 м², 12/16 эт.","1 600  ₽
 за сутки","Площадь Ленина 500 м, ул Романова, 25",/novosibirsk/kvartiry/1-k_kvartira_43_m_1216_et._1327453458
"1-к квартира, 35 м², 3/9 эт.","1 000  ₽
 за сутки","Площадь Гарина-Михайловского 100 м, Новосибирск, улица Челюскинцев, 5",/novosibirsk/kvartiry/1-k_kvartira_35_m_39_et._1561827558
"1-к квартира, 37 м², 8/10 эт.","1 300  ₽
 за сутки","Площадь Маркса 1.6 км, Тихвинская улица, 1",/novosibirsk/kvartiry/1-k_kvartira_37_m_810_et._965789951
"1-к квартира, 31 м², 2/5 эт.","1 000  ₽
 за сутки","Площадь Маркса 600 м, Карла Маркса пр-кт, 10/2",/novosibirsk/kvartiry/1-k_kvartira_31_m_25_et._1154183312
"1-к квартира, 45 м², 13/16 эт.","1 500  ₽
 за сутки","Гагаринская 400 м, ул Кропоткина, 96/1",/novosibirsk/kvartiry/1-k_kvartira_45_m_1316_et._1021693541
"1-к квартира, 30 м², 13/20 эт.","1 000  ₽
 за сутки","Площадь Маркса 7 км, Новосибирск, улица Забалуева, 90 (Аэропорт, Экспоцентр, клиника Федорова)",/novosibirsk/kvartiry/1-k_kvartira_30_m_1320_et._1127164965
"1-к квартира, 45 м², 3/16 эт.","1 300  ₽
 за сутки","Студенческая 700 м, Горский мкр, 61",/novosibirsk/kvartiry/1-k_kvartira_45_m_316_et._1099645450
"1-к квартира, 35 м², 5/8 эт.","1 300  ₽
 за сутки","Речной вокзал 700 м, ул Нижегородская, 24",/novosibirsk/kvartiry/1-k_kvartira_35_m_58_et._1157214081
"1-к квартира, 45 м², 6/12 эт.","1 500  ₽
 за сутки","Площадь Маркса 1 км, ул Костычева, 1",/novosibirsk/kvartiry/1-k_kvartira_45_m_612_et._741485490
"1-к квартира, 40 м², 13/17 эт.","10 000  ₽
 в месяц","Речной вокзал 13 км, Новосибирск, улица Одоевского",/novosibirsk/kvartiry/1-k_kvartira_40_m_1317_et._1617560833
"1-к квартира, 36 м², 9/10 эт.","1 000  ₽
 за сутки","Площадь Маркса 6 км, Новосибирск, улица Петухова, 97",/novosibirsk/kvartiry/1-k_kvartira_36_m_910_et._1225076010
"1-к квартира, 33 м², 3/9 эт.","1 200  ₽
 за сутки","Заельцовская 100 м, Новосибирск, Красный проспект, 188",/novosibirsk/kvartiry/1-k_kvartira_33_m_39_et._1349226042
"1-к квартира, 35 м², 5/9 эт.","1 200  ₽
 за сутки","Красный проспект 200 м, Гоголя 7",/novosibirsk/kvartiry/1-k_kvartira_35_m_59_et._833357647
"2-к квартира, 45 м², 3/5 эт.","1 500  ₽
 за сутки","Площадь Гарина-Михайловского 300 м, Новосибирск, улица Дмитрия Шамшурина, 22 Ж/Д ВОКЗАЛ, АКВАПРАК, ЗООПАРК, ЦИРК",/novosibirsk/kvartiry/2-k_kvartira_45_m_35_et._1661777565
"1-к квартира, 45 м², 5/19 эт.","1 200  ₽
 за сутки","Октябрьская 200 м, Кирова 25",/novosibirsk/kvartiry/1-k_kvartira_45_m_519_et._325003237
"1-к квартира, 37 м², 4/10 эт.","1 100  ₽
 за сутки","Заельцовская 5.9 км, микрорайон Родники, Калининский район, Новосибирск, улица Тюленина, 16/1",/novosibirsk/kvartiry/1-k_kvartira_37_m_410_et._1680244759
"1-к квартира, 37 м², 7/10 эт.","11 000  ₽
 в месяц  
 30 %","Золотая Нива 3.1 км, ул В. Высоцкого, 41",/novosibirsk/kvartiry/1-k_kvartira_37_m_710_et._1096694108
"1-к квартира, 35 м², 2/5 эт.","1 400  ₽
 за сутки","Красный проспект 200 м, ул Гоголя, 3",/novosibirsk/kvartiry/1-k_kvartira_35_m_25_et._1144490188
"2-к квартира, 54 м², 5/9 эт.","1 600  ₽
 за сутки","Золотая Нива 3.8 км, Красный проспект 70",/novosibirsk/kvartiry/2-k_kvartira_54_m_59_et._867372549
"1-к квартира, 40 м², 8/25 эт.","1 200  ₽
 за сутки","Сибирская 600 м, ул Крылова, 34",/novosibirsk/kvartiry/1-k_kvartira_40_m_825_et._1045540593
"2-к квартира, 50 м², 4/9 эт.","1 500  ₽
 за сутки","Сибирская 100 м, Новосибирск, улица Гоголя, 9",/novosibirsk/kvartiry/2-k_kvartira_50_m_49_et._1668722458
